Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
D04,2,50,REP1,,BDNF,101.0765839,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20637,1699,18938
C04,4,50,REP1,,BDNF,172.6802826,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21082,2878,18204
B04,8,50,REP1,,BDNF,371.6410217,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19759,5352,14407
A04,16,50,REP1,,BDNF,609.3699341,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20103,8127,11976
D05,2,50,REP2,,BDNF,75.4953537,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20497,1274,19223
C05,4,50,REP2,,BDNF,151.4544525,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20448,2470,17978
B05,8,50,REP2,,BDNF,302.6741638,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20199,4582,15617
A05,16,50,REP2,,BDNF,502.1239014,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20034,6960,13074
D06,2,50,REP3,,BDNF,72.69373322,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21095,1264,19831
C06,4,50,REP3,,BDNF,131.8019867,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20588,2182,18406
B06,8,50,REP3,,BDNF,262.907135,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19849,3975,15874
A06,16,50,REP3,,BDNF,479.9829102,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20062,6721,13341
H04,2,50.2,REP1,,BDNF,92.93914795,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,16667,1266,15401
G04,4,50.2,REP1,,BDNF,180.7172699,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21251,3026,18225
F04,8,50.2,REP1,,BDNF,391.0556641,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20474,5790,14684
E04,16,50.2,REP1,,BDNF,598.2029419,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19667,7839,11828
H05,2,50.2,REP2,,BDNF,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9646,632,9014
G05,4,50.2,REP2,,BDNF,162.7297058,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20274,2619,17655
